Tanggal,P,Wf,Wl,vx,h1,h2,gate
31-03-2024,0.1,0.0663556838074062,0.5064,0.400004862924101,0.5064,0,0
01-04-2024,0.1,0.0663528374006915,0.506933333333333,0.404960601433788,0.506933333333333,0,0
02-04-2024,1.4,0.173221117319713,0.5144,0.517504919215667,0.5144,0,0
03-04-2024,4.35,0.527659725826826,0.5376,0.853819622691939,0.5376,0,0
04-04-2024,0.8,0.479473762061361,0.541866666666667,0.872335124601968,0.541866666666667,0,0
05-04-2024,74.75,7.38418152298144,0.9392,3.01922896396764,0.9392,0.426909456516875,28.4606304344583
06-04-2024,54,12.8735636695724,1.2272,3.51870465703973,1.2272,0.881348749412492,58.7565832941661
07-04-2024,0.2,5.62682157083087,1.22826666666667,3.50868652033243,1.22826666666667,0.878827171149974,58.5884780766649
08-04-2024,50.6,5.4646036262268,1.49413333333333,3.90966259298932,1.49413333333333,1.29630344500612,86.4202296670744
09-04-2024,11.8,6.71041646698319,1.5,3.96094730221305,1.5,1.32274309535723,88.1828730238152
10-04-2024,13.3,2.75387208425967,1.5,3.89857852331117,1.5,1.29775894507763,86.5172630051754
11-04-2024,1.55,1.65512698070516,1.5,3.92048294459267,1.5,1.30648840564944,87.0992270432959
12-04-2024,1.2,0.347430052895809,1.5,3.94656716616979,1.5,1.31694742085063,87.7964947233755
13-04-2024,0.85,0.271542211696674,1.5,3.94808135016463,1.5,1.31755669457277,87.837112971518
14-04-2024,7.5,0.954201137889523,1.5,3.93446217764246,1.5,1.31208504726295,87.4723364841966
15-04-2024,10.85,1.9926395370861,1.30986666666667,3.63097618399119,1.30986666666667,1.00492803510251,66.9952023401672
16-04-2024,6,1.77871018085903,1.05386666666667,3.2599801972822,1.05386666666667,0.618626446823246,41.2417631215497
17-04-2024,0,0.648509771313764,1.0528,3.24300429793951,1.0528,0.611933174131198,40.7955449420799
18-04-2024,0,0.05,0.782933333333333,2.63644272250455,0.782933333333333,0.160300623294964,10.6867082196643
19-04-2024,3.9,0.407329975122736,0.7408,2.49537425930422,0.7408,0.0812693523954165,5.4179568263611
20-04-2024,2.4,0.622334459755296,0.682666666666667,2.03902406393486,0.682666666666667,0,0
21-04-2024,21.3,2.24862483856598,0.788,2.56428232270517,0.788,0.146239542840887,9.74930285605913
22-04-2024,1.55,2.17805666642981,0.789866666666667,2.57262720138963,0.789866666666667,0.150291066122825,10.0194044081884
23-04-2024,2.65,0.442145093173108,0.799466666666667,2.66272023888559,0.799466666666667,0.183931247225837,12.2620831483891
24-04-2024,7.1,0.96092625549408,0.797333333333333,2.63873478129528,0.797333333333333,0.17531688307938,11.687792205292
25-04-2024,2.45,0.938639198721654,0.752533333333333,2.51928961774086,0.752533333333333,0.0991151976583541,6.60767984389027
26-04-2024,10.65,1.26372527176147,0.777333333333333,2.57257319600004,0.777333333333333,0.137743570274102,9.18290468494011
27-04-2024,4.25,1.43564029864949,0.8,2.62920901631528,0.8,0.175425894570517,11.6950596380345
28-04-2024,0,0.44733675079231,0.8,2.66388669273948,0.8,0.184781259518576,12.3187506345717
29-04-2024,0,0.05,0.7792,2.62736376375792,0.7792,0.154131516162496,10.2754344108331
30-04-2024,0,0.05,0.7664,2.59616782503479,0.7664,0.133026064003358,8.86840426689054
